     16.0000      19.0000       0.0000       1.0000       1.0000       0.0000      41.0727      58.0000     101.0000     107.0000     110.0000     108.2572     999.0000     310.0000      88.0000     102.0000     115.0000     999.0000     999.0000     306.0000
     16.0000      20.0000       0.0000       0.0000       1.0000       0.0000      45.0000      68.0000     115.7163     106.0000     102.0000      97.0000       1.0000     335.0000     999.0000     101.0000     112.0000      94.0000       1.0000     342.0000
     16.0000      21.0000       0.0000       0.0000       1.0000       0.0000      53.0000      60.0000     112.0000     107.0000     105.0000      94.0000       1.0000     305.0000     116.0000     104.0000     100.0000      91.0000       1.0000     274.0000
     16.0000      22.0000       0.0000     999.0000       1.0000       0.0000      33.0000      46.0000      70.0000      88.0000      82.0000      94.0000       1.0000     266.0000      89.0000      97.0000      91.0000      78.0000       0.0000     283.0000
     16.0000      23.0000       0.0000       1.0000       3.0000       1.0000      40.0000      41.9661      71.0000      96.0000      90.0000      93.0000       1.0000     245.0000      81.0000      96.0000      97.0000      90.0000       1.0000     265.0000
     16.0000      24.0000       0.0000       1.0000       1.0000       0.0000      56.0000      54.0000      99.0000     119.0000     109.0000      93.0000       1.0000     295.4952      99.0000     106.0000     105.0000      91.0000       1.0000     999.0000
     16.0000      25.0000       0.0000     999.0000       1.0000       0.0000      42.0000      46.0000      91.0000     109.0000     100.0000      93.0000       1.0000     325.0000      84.0000     100.0000     104.0000      81.0000       0.0000     272.0000
     16.0000      26.0000       0.0000     999.0000       1.0000       0.0000      54.0000      69.0000      94.8657     100.0000     999.0000      93.0000       1.0000     300.0000     999.0000     104.0000     999.0000      86.0000       0.0000     278.0000
     16.0000      27.0000       0.0000       1.0000       1.0000       0.0000      45.0000      65.0000      82.0000      83.0000      79.0000      92.0000       1.0000     238.0000     106.0000     111.0000      98.0000      88.0000       0.0000     269.0000
     16.0000      28.0000     999.0000       0.0000       1.0000       0.0000      37.0000      39.0000      88.0000     101.0000     101.0000      92.0000       1.0000     326.0000      94.0000      90.0000     104.0000      84.0000       0.0000     293.0000
     16.0000      29.0000       0.0000       0.0000       1.0000       0.0000      76.0000      55.0000      91.6250     113.0000     121.0000      92.0000       1.0000     284.0000     999.0000      93.0000     100.0000      93.0000       1.0000     202.0000
     16.0000      30.0000       0.0000       1.0000       1.0000       0.0000      63.0000      64.0000      86.0000     110.0000     106.0000      82.7915     999.0000     338.0000     107.0000     110.0000     111.0000     999.0000     999.0000     334.0000
     16.0000      31.0000       0.0000       0.0000       1.0000       0.0000      50.0000      51.0000      97.0000     107.0000      97.0000      92.0000       1.0000     254.0000     112.0000      90.0000      94.0000      87.0000       0.0000     359.0000
     16.0000      32.0000       0.0000       0.0000       2.0000       1.0000      42.0000      51.0000      87.0000     101.0000     999.0000      90.0000       1.0000     306.0000     109.0000     103.0000     999.0000      90.0000       1.0000     289.0000
     16.0000      33.0000       0.0000       1.0000       2.0000       1.0000      37.0000      40.0000      99.0000     102.0000     102.0000      89.0000       0.0000     234.4548     121.0000     113.0000     121.0000     106.0000       1.0000     999.0000
     16.0000      34.0000       0.0000       1.0000       2.0000       1.0000      25.0000      32.0000      67.0000      82.0000      76.0000      89.0000       0.0000     260.0000      99.0000      90.0000      89.0000      71.0000       0.0000     261.0000
     16.0000      35.0000       0.0000       0.0000       2.0000       1.0000      39.0000      45.0000      90.0000      94.0000      96.0000      88.0000       0.0000     258.0000      89.0000      92.0000      98.0000      79.0000       0.0000     266.0000
     16.0000      36.0000       0.0000       1.0000       1.0000       0.0000      53.0000      46.0000     103.0000     121.0000     111.0000      88.0000       0.0000     304.0000      97.0000     105.0000     103.0000      83.0000       0.0000     265.0000
     16.0000      37.0000       0.0000       0.0000       2.0000       1.0000      49.0000      55.0000     102.7079      95.0000      89.0000      87.0000       0.0000     215.0000     999.0000      85.0000      83.0000      75.0000       0.0000     232.0000
     16.0000      38.0000       0.0000       0.0000       2.0000       1.0000      40.0000      38.0000      91.0000      93.0000      96.0000      87.0000       0.0000     335.0000     109.0000     100.0000     109.0000      92.0000       1.0000     330.0000
     16.0000      39.0000       0.0000       0.0000       1.0000       0.0000      71.0000      61.0000      77.0000      84.0000      97.0000      87.0000       0.0000     207.0000      86.0000      92.0000     100.0000      68.0000       0.0000     248.0000
     16.0000      40.0000       0.0000       0.0000       1.0000       0.0000      56.0000      53.0000      97.0000     108.0000     105.0000      86.0000       0.0000     251.0000      90.0000      93.0000      96.0000      76.0000       0.0000     261.0000
     16.0000      41.0000       0.0000       1.0000       2.0000       1.0000      44.0000      47.0000      83.0000      90.0000      85.0000      85.0000       0.0000     257.3255     100.0000      89.0000      96.0000      86.0000       0.0000     999.0000
     16.0000      42.0000       0.0000       0.0000       2.0000       1.0000      70.0000      76.0000     102.0000      95.0000     999.0000      98.2844     999.0000     188.0000     117.0000     106.0000     999.0000     999.0000     999.0000     253.0000
     16.0000      43.0000       0.0000       1.0000       2.0000       1.0000      39.0000      45.0000      74.0000      77.0000      78.0000      84.0000       0.0000     269.0000      87.0000      88.0000      89.0000      71.0000       0.0000     213.0000
     16.0000      44.0000       0.0000       0.0000       1.0000       0.0000      58.0000      73.0000      85.0000      87.0000      87.0000      84.0000       0.0000     260.0000      94.0000      95.0000      96.0000      79.0000       0.0000     250.0000
     16.0000      45.0000       0.0000       1.0000       2.0000       1.0000      31.0000      45.0000      83.0000      85.0000      85.0000      84.0000       0.0000     213.0000      86.0000     109.0000     100.0000      81.0000       0.0000     209.0000
     16.0000      46.0000       0.0000       1.0000       3.0000       1.0000      73.0000      63.0000      65.0000      80.0000      83.0000      72.4259     999.0000     192.5252      91.0000      99.0000      84.0000     999.0000     999.0000     999.0000
     16.0000      47.0000       0.0000       0.0000       1.0000       0.0000      63.0000      59.0000      89.0000      87.3361     999.0000      83.0000       0.0000     205.0000     112.0000     999.0000     999.0000      86.0000       0.0000     249.0000
     16.0000      48.0000       0.0000       1.0000       3.0000       1.0000      45.0000      45.0000      69.0000      81.0000      85.0000      82.0000       0.0000     250.0000      94.0000      92.0000     107.0000      89.0000       0.0000     286.0000
     16.0000      49.0000       0.0000       1.0000       3.0000       1.0000      39.0000      48.0000      68.0000      70.0000      68.0000      82.0000       0.0000     212.5194      93.0000      95.0000      85.0000      86.0000       0.0000     999.0000
     16.0000      50.0000       0.0000       1.0000       3.0000       1.0000      50.0000      49.0000      67.0000      88.0000      81.0000      81.0000       0.0000     242.0000      86.0000      95.0000      91.0000      81.0000       0.0000     236.0000
     16.0000      51.0000       0.0000       1.0000       3.0000       1.0000      37.0000      47.0000      74.0000      90.0000      81.0000      81.0000       0.0000     258.0000      92.0000     101.0000      93.0000      74.0000       0.0000     242.0000
     16.0000      52.0000       0.0000       0.0000       1.0000       0.0000      67.0000      66.0000      88.0000      95.6254      90.0000      81.0000       0.0000     283.0000      97.0000     999.0000      82.0000      72.0000       0.0000     237.0000
     16.0000      53.0000       0.0000       1.0000       2.0000       1.0000      42.0000      55.0000      80.0000      86.0000      82.0000      79.0000       0.0000     230.0000      99.0000     106.0000     101.0000      93.0000       1.0000     254.0000
     16.0000      54.0000       0.0000       0.0000       3.0000       1.0000      60.0000      57.0000      84.0000      85.0000      95.0000      78.0000       0.0000     313.4063      97.0000     107.0000      95.0000      82.0000       0.0000     999.0000
